Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
E13_2 - polya	(1, 0.00010708067386581934)	(2, 0.00023200812670927525)	(3, 0.0007406413275719172)	(4, 0.0015615931605431988)	(5, 0.0023914683830032987)	(6, 0.003542585627060857)	(7, 0.004711549650096051)	(8, 0.006076828241885248)	(9, 0.0077455020762942665)	(10, 0.01303528736526574)	(15, 0.022090743018518533)	(20, 0.031037333320007743)	(25, 0.03917903388960554)	(30, 0.04639627130816176)	(35, 0.05246953019425149)	(40, 0.057939567950897074)	(45, 0.06317045886924236)	(50, 0.06804619888593266)	(55, 0.07232050245107663)	(60, 0.07625571721564547)	(65, 0.08017665455703224)	(70, 0.0838227515021634)	(75, 0.08735462906183765)	(80, 0.09082761225088573)	(85, 0.09408108005850888)	(90, 0.09699724374345468)	(95, 0.09969567672487334)	(100, 0.10248334360118017)	(105, 0.10499617008123141)	(110, 0.10769103370685454)	(115, 0.11036448119770448)	(120, 0.11249360192973652)	(125, 0.11493682597177494)	(130, 0.11754067102461215)	(135, 0.11991964666233108)	(140, 0.12142948416383914)
E13_2 - polyg	(1, 0.14785164044023005)	(2, 0.15336629514431976)	(3, 0.15358937988154023)	(4, 0.15370538394489486)	(5, 0.15383923478722714)	(6, 0.15397308562955941)	(7, 0.15415155341933579)	(8, 0.15432109781962333)	(9, 0.1544014083250227)	(10, 0.15514918836418565)	(15, 0.15591481518232625)	(20, 0.1563931088589269)	(25, 0.15669828877944453)	(30, 0.15697669853149565)	(35, 0.15736397363531035)	(40, 0.15773697131594297)	(45, 0.15815993997771294)	(50, 0.15863466429851808)	(55, 0.1592218233268823)	(60, 0.15974830330672257)	(65, 0.16037472524883764)	(70, 0.16111179722061403)	(75, 0.16211657087705497)	(80, 0.16367281000390488)	(85, 0.1655074588828059)	(90, 0.16766156510540664)	(95, 0.16959258659078694)	(100, 0.17161998068264644)	(105, 0.17370091511143884)	(110, 0.17607453671546452)	(115, 0.1788354334233049)	(120, 0.18186403181580985)	(125, 0.18516211657087706)	(130, 0.1886154683030497)	(135, 0.19269702665523522)	(140, 0.19572562504774013)
E29_A_2 - polya	(1, 0.00041087581973676767)	(2, 0.0006510801451213395)	(3, 0.0021428754290886806)	(4, 0.0041466851961126094)	(5, 0.006858465606375276)	(6, 0.010139150997811928)	(7, 0.012983675903681859)	(8, 0.016245397795746044)	(9, 0.01990535317463202)	(10, 0.03311911953736647)	(15, 0.05553776849549601)	(20, 0.07532934067389323)	(25, 0.09242683170810875)	(30, 0.10730432908245424)	(35, 0.12013503275786486)	(40, 0.13164966957682636)	(45, 0.14210235043092972)	(50, 0.1516485760150292)	(55, 0.16020490693188597)	(60, 0.16767652568463765)	(65, 0.17513170940459982)	(70, 0.1818359385494124)	(75, 0.18808883640916027)	(80, 0.19384236211876646)	(85, 0.19940751706793955)	(90, 0.20454536116458644)	(95, 0.20944426516914022)	(100, 0.21401320428461307)	(105, 0.21844939890447862)	(110, 0.2228413453591418)	(115, 0.2272193852475985)	(120, 0.23133572884471518)	(125, 0.23531047831318408)	(130, 0.2393408540464789)	(135, 0.24309309845564422)	(140, 0.24536871838034016)
E29_A_2 - polyg	(1, 0.18870578225541115)	(2, 0.19292200028255613)	(3, 0.19302946011233346)	(4, 0.19307370827753587)	(5, 0.1931685257743982)	(6, 0.19323805860543058)	(7, 0.19328862793709048)	(8, 0.19335816076812287)	(9, 0.19342137243269775)	(10, 0.1937829431540661)	(15, 0.19408762337731705)	(20, 0.19425197370521177)	(25, 0.19438977513398503)	(30, 0.19458446706087568)	(35, 0.1947981224871388)	(40, 0.19503074141277438)	(45, 0.19527473843803345)	(50, 0.19555539822874593)	(55, 0.19583858648604147)	(60, 0.19609649007750699)	(65, 0.19646943889849883)	(70, 0.19690433515077405)	(75, 0.1973152109705108)	(80, 0.19777033495545)	(85, 0.19846945596564827)	(90, 0.19924569520662788)	(95, 0.2000585972130609)	(100, 0.20090436928507288)	(105, 0.20183358075432375)	(110, 0.2028715162866434)	(115, 0.2040611598139428)	(120, 0.20543158870192632)	(125, 0.2068589080880273)	(130, 0.20841897196973552)	(135, 0.21030773650723314)	(140, 0.21164529532963777)
E36_2 - polya	(1, 0.000437171448528445)	(2, 0.0006590196462891484)	(3, 0.002427280281381814)	(4, 0.005174282965418759)	(5, 0.008032209748336057)	(6, 0.011033685365098515)	(7, 0.014106935398783554)	(8, 0.017995803806588825)	(9, 0.02209999546516184)	(10, 0.03742187599403489)	(15, 0.06298661831245948)	(20, 0.08567777397518367)	(25, 0.10468755454447878)	(30, 0.121382283920671)	(35, 0.1363165825981621)	(40, 0.14918769303647872)	(45, 0.16100698201952982)	(50, 0.17159044604211396)	(55, 0.1814887906304371)	(60, 0.19025440442078206)	(65, 0.1984131981407816)	(70, 0.20599257656780612)	(75, 0.21300819957463873)	(80, 0.21932043329563)	(85, 0.2250897914268069)	(90, 0.23033454381974963)	(95, 0.2355753812444966)	(100, 0.24039340210409965)	(105, 0.24486168580487994)	(110, 0.24939260899679266)	(115, 0.2538726376021603)	(120, 0.25796638934554456)	(125, 0.2620079415129851)	(130, 0.266039053765237)	(135, 0.27014063544501277)	(140, 0.2725861855779749)
E36_2 - polyg	(1, 0.16330637333984957)	(2, 0.16945939835421261)	(3, 0.1696355719230226)	(4, 0.1697530209688959)	(5, 0.16983784527980442)	(6, 0.1699552943256777)	(7, 0.17002054379560735)	(8, 0.1700596934775651)	(9, 0.17013799284148065)	(10, 0.17063519380234435)	(15, 0.17110498998583762)	(20, 0.17123940389389264)	(25, 0.17141688245210118)	(30, 0.1716165458300858)	(35, 0.17179793935649018)	(40, 0.17195714806311843)	(45, 0.17220901101704675)	(50, 0.17247131388616382)	(55, 0.1727270918082879)	(60, 0.17300766452898528)	(65, 0.17334957175141646)	(70, 0.17364710933429556)	(75, 0.1739929315249225)	(80, 0.17456712686030318)	(85, 0.17535534045705298)	(90, 0.17622185341771832)	(95, 0.17691871775656665)	(100, 0.17767169663955446)	(105, 0.17850819484405214)	(110, 0.17937992776231185)	(115, 0.1803612797900533)	(120, 0.1813948313937385)	(125, 0.18266850104676463)	(130, 0.18428799289041775)	(135, 0.18608757327107664)	(140, 0.18721377912206186)
E39_A_2 - polya	(1, 0.0002823202407426252)	(2, 0.0005583666983576365)	(3, 0.0020076106008364457)	(4, 0.003883471755993)	(5, 0.006185950163827299)	(6, 0.008689189631745243)	(7, 0.010997941822707155)	(8, 0.0136831210013259)	(9, 0.01653141854126261)	(10, 0.02702745771376065)	(15, 0.04462918365659419)	(20, 0.060250903644352795)	(25, 0.07422512818279997)	(30, 0.08596212165794005)	(35, 0.09667648848327905)	(40, 0.10608339890482332)	(45, 0.11480646696545768)	(50, 0.12251318215941857)	(55, 0.12999027689090883)	(60, 0.13690022162766274)	(65, 0.1433923324081176)	(70, 0.14933862405647008)	(75, 0.1546286779896741)	(80, 0.15971420659291793)	(85, 0.1645876813264484)	(90, 0.16876476613281371)	(95, 0.17279378965736739)	(100, 0.17688931528307372)	(105, 0.18075898471618596)	(110, 0.18454207594213715)	(115, 0.18811562281162603)	(120, 0.19151099424029067)	(125, 0.1948122589220411)	(130, 0.19810474030741285)	(135, 0.2015666138372302)	(140, 0.203565441141688)
E39_A_2 - polyg	(1, 0.15822481047842238)	(2, 0.1630681710529403)	(3, 0.16322501563113065)	(4, 0.16332539616117248)	(5, 0.16345714560685237)	(6, 0.16353243100438375)	(7, 0.1636014426187875)	(8, 0.16368300179944648)	(9, 0.16378965611261592)	(10, 0.16427022790019113)	(15, 0.16466798575048186)	(20, 0.16487251108044204)	(25, 0.16504817700801527)	(30, 0.1652439190415968)	(35, 0.1654622466944378)	(40, 0.1656228555425047)	(45, 0.1658399284387201)	(50, 0.16607707744094397)	(55, 0.16636943573469073)	(60, 0.1666856344043225)	(65, 0.1669980688040777)	(70, 0.16746860253864868)	(75, 0.1679002388178285)	(80, 0.16847491735231795)	(85, 0.1691713072794831)	(90, 0.16987146147652482)	(95, 0.1706080036157067)	(100, 0.17141983115241993)	(105, 0.1723257654360474)	(110, 0.17331451365695932)	(115, 0.17442873754042357)	(120, 0.17576630810323085)	(125, 0.1771641069840632)	(130, 0.17881411194662564)	(135, 0.18066111369939516)	(140, 0.1819459844839305)
E8_2 - polya	(1, 0.00030739809224901476)	(2, 0.00048671364606094)	(3, 0.00170349776121329)	(4, 0.0035670986954729417)	(5, 0.005917413275793534)	(6, 0.008587934202206849)	(7, 0.011213626240167184)	(8, 0.01387133891273679)	(9, 0.017150251896726282)	(10, 0.029392380920543294)	(15, 0.050162245353501736)	(20, 0.06900702923375071)	(25, 0.08558219053289445)	(30, 0.0999389622663078)	(35, 0.11288170277537571)	(40, 0.12415424698322393)	(45, 0.13419079469515427)	(50, 0.14360742292104908)	(55, 0.15229782315400558)	(60, 0.160165933490196)	(65, 0.16810064674637373)	(70, 0.17551534489649684)	(75, 0.18154803245688375)	(80, 0.18720671900503436)	(85, 0.19265022688861064)	(90, 0.1977568776960974)	(95, 0.20294293967741517)	(100, 0.20736178725349474)	(105, 0.21160772340268424)	(110, 0.21575759764804597)	(115, 0.21978963595804552)	(120, 0.22353092690579293)	(125, 0.22726709455200284)	(130, 0.23100070054744398)	(135, 0.23465745701982285)	(140, 0.23694629198169367)
E8_2 - polyg	(1, 0.23840002879295463)	(2, 0.2427100062113627)	(3, 0.24295976716131504)	(4, 0.24311346620743954)	(5, 0.24326716525356404)	(6, 0.243401651918923)	(7, 0.24354894683812564)	(8, 0.24371545413809387)	(9, 0.24404206461110844)	(10, 0.2454689040892976)	(15, 0.2467561336005904)	(20, 0.24715703194589844)	(25, 0.2474631492127631)	(30, 0.24777695143193396)	(35, 0.2480433631118831)	(40, 0.24829952818875728)	(45, 0.24861461123331252)	(50, 0.24901807122938938)	(55, 0.24940103801931626)	(60, 0.24973277179386835)	(65, 0.25012342353610145)	(70, 0.25056658911909374)	(75, 0.25121724841435417)	(80, 0.25244299830719713)	(85, 0.2546127165083214)	(90, 0.2568567225817392)	(95, 0.25865243977062724)	(100, 0.2601292314388069)	(105, 0.2615637558693023)	(110, 0.2631532601713065)	(115, 0.26464926422025176)	(120, 0.26604280223844734)	(125, 0.26761693663583913)	(130, 0.26926151642937135)	(135, 0.2711366447920904)	(140, 0.2724059427480019)
