Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
E13_1	(1, 0.0)	(2, 0.002935795141821214)	(3, 0.0)	(4, 0.0)	(5, 3.5693557955273115e-05)	(6, 0.008084590876869361)	(7, 5.354033693290968e-05)	(8, 0.0)	(9, 0.0)	(10, 0.00019274521295847483)	(15, 0.0004211839838722228)	(20, 0.0014634358761661977)	(25, 0.0)	(30, 2.855484636421849e-05)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.04356577216230861)	(60, 0.0)	(65, 0.0)	(70, 0.041859620092046544)	(75, 0.0)	(80, 0.00018382182346965656)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.020934271740767684)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 1.7846778977636557e-06)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
E13_2	(1, 7.138711591054623e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 5.5325014830673334e-05)	(15, 0.0)	(20, 8.923389488818279e-06)	(25, 1.7846778977636557e-06)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 1.7846778977636557e-06)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.00010351131807029205)	(100, 1.7846778977636557e-06)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00015526697710543805)	(125, 0.0)	(130, 0.0)	(135, 6.960243801278258e-05)	(140, 5.354033693290968e-06)	(145, 0.00010351131807029205)	(150, 0.0002186230424760478)
E29_A_1	(1, 0.01772455074679841)	(2, 0.011845865941333886)	(3, 3.79269987449324e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.001706714943521958)	(8, 0.0)	(9, 0.0)	(10, 2.5284665829954934e-06)	(15, 0.00018331382726717327)	(20, 0.00019469192689065297)	(25, 6.0683197991891845e-05)	(30, 0.0008470363053034903)	(35, 0.0004020261866962834)	(40, 0.0008027881401010691)	(45, 0.0009949516004087266)	(50, 0.0010139150997811929)	(55, 0.0006030392800444252)	(60, 0.0002566393581740426)	(65, 0.0003173225561659344)	(70, 4.9305098368412126e-05)	(75, 0.0004121400530282654)	(80, 0.0004007619534047857)	(85, 0.0003868553871983105)	(90, 0.0027282154430521375)	(95, 0.0017648696749308541)	(100, 0.0021036841970522506)	(105, 0.0022212578931615407)	(110, 0.0015246653495462825)	(115, 0.0028407322059954367)	(120, 0.000993687367117229)	(125, 0.00024273279196756738)	(130, 0.00018331382726717327)	(135, 4.677663178541663e-05)	(140, 1.89634993724662e-05)	(145, 0.0003565137882023646)	(150, 0.00019911674341089507)
E29_A_2	(1, 0.0005878684805464522)	(2, 0.005056933165990987)	(3, 6.321166457488733e-06)	(4, 0.0)	(5, 3.79269987449324e-05)	(6, 0.004355283689209737)	(7, 0.00027813132412950425)	(8, 5.68904981173986e-05)	(9, 0.00010113866331981973)	(10, 4.9305098368412126e-05)	(15, 0.0012427413255422849)	(20, 0.0)	(25, 0.0)	(30, 1.89634993724662e-05)	(35, 0.0)	(40, 1.89634993724662e-05)	(45, 0.0001112525296518017)	(50, 0.0)	(55, 0.0)	(60, 0.00020986272638862596)	(65, 2.4020432538457187e-05)	(70, 3.919123203643015e-05)	(75, 3.7926998744932403e-06)	(80, 2.9077365704448176e-05)	(85, 8.596786382184677e-05)	(90, 0.0002136554262631192)	(95, 7.585399748986481e-06)	(100, 1.769926608096845e-05)	(105, 0.00019342769359915525)	(110, 0.00024020432538457185)	(115, 0.00022124082601210568)	(120, 5.056933165990987e-06)	(125, 0.0001517079949797296)	(130, 0.0006220027794168914)	(135, 2.5284665829954933e-05)	(140, 2.4020432538457187e-05)	(145, 0.04110401700646624)	(150, 0.0017762477745543342)
E36_1	(1, 0.01796317907162402)	(2, 0.011549156177542503)	(3, 5.8724522936656795e-05)	(4, 6.524946992961865e-06)	(5, 0.0)	(6, 0.0)	(7, 0.0018204602110363606)	(8, 0.0)	(9, 0.0)	(10, 2.6099787971847464e-06)	(15, 0.00018400350520152462)	(20, 0.00017486857941137801)	(25, 6.524946992961865e-05)	(30, 0.0008260582893089722)	(35, 0.0004123766499551899)	(40, 0.000811703405924456)	(45, 0.0009617771867625791)	(50, 0.0010622613704541917)	(55, 0.0006407497947088553)	(60, 0.0002766577525015831)	(65, 0.00033407728603964754)	(70, 5.35045653422873e-05)	(75, 0.0004032417241650433)	(80, 0.0003967167771720815)	(85, 0.0004136816393537823)	(90, 0.0027913723235890864)	(95, 0.0017108411015546014)	(100, 0.0021166928045168293)	(105, 0.002227616903397181)	(110, 0.0014655030946192351)	(115, 0.002800507249379233)	(120, 0.0009839620065386495)	(125, 0.0002766577525015831)	(130, 0.0001552937384324924)	(135, 5.35045653422873e-05)	(140, 2.2184819776070343e-05)	(145, 0.00036800701040304925)	(150, 0.00024468551223606993)
E36_2	(1, 0.0005285207064299111)	(2, 0.005219957594369493)	(3, 6.524946992961865e-06)	(4, 0.0)	(5, 1.95748409788856e-05)	(6, 0.004410864167242221)	(7, 0.0003262473496480933)	(8, 7.82993639155424e-05)	(9, 5.219957594369492e-05)	(10, 6.78594487268034e-05)	(15, 0.0013832887625079156)	(20, 0.0)	(25, 0.0)	(30, 2.087983037747797e-05)	(35, 0.0)	(40, 1.696486218170085e-05)	(45, 0.00010439915188738985)	(50, 0.0)	(55, 0.0)	(60, 0.00019313843099167123)	(65, 3.653970316058645e-05)	(70, 2.609978797184746e-05)	(75, 0.0)	(80, 2.3489809174662718e-05)	(85, 9.26542473000585e-05)	(90, 0.0003079774980678001)	(95, 1.95748409788856e-05)	(100, 2.3489809174662718e-05)	(105, 0.00018661348399870938)	(110, 0.0003066725086692077)	(115, 0.00031189246626357715)	(120, 1.1744904587331359e-05)	(125, 0.00015790371722967716)	(130, 0.0006616296250863332)	(135, 4.828460774791781e-05)	(140, 3.91496819577712e-05)	(145, 0.041648736656075595)	(150, 0.0021271327197055685)
E39_A_1	(1, 0.018012031359379486)	(2, 0.010075695702947913)	(3, 5.019026502091115e-05)	(4, 6.273783127613893e-06)	(5, 0.0)	(6, 0.0)	(7, 0.0020766222152401987)	(8, 0.0)	(9, 0.0)	(10, 6.273783127613893e-06)	(15, 0.00022460143596857737)	(20, 0.00018068495407528012)	(25, 5.520929152300226e-05)	(30, 0.0007051732235438015)	(35, 0.0003701532045292197)	(40, 0.0007064279801693244)	(45, 0.0009096985535040146)	(50, 0.0008369226692236933)	(55, 0.0004956288670814975)	(60, 0.0002534608383556013)	(65, 0.00032498196601039967)	(70, 6.148307465061615e-05)	(75, 0.00034505807201876414)	(80, 0.00030616061662755797)	(85, 0.0004103054165459486)	(90, 0.002279892788574889)	(95, 0.0014605367121085144)	(100, 0.0017516402492297992)	(105, 0.0018833896949096908)	(110, 0.0012936540809139847)	(115, 0.0023388663499744593)	(120, 0.0007904966740793506)	(125, 0.00021079911308782682)	(130, 0.00019574203358155347)	(135, 6.399258790166171e-05)	(140, 3.136891563806947e-05)	(145, 0.00041783395629908527)	(150, 0.0002070348432112585)
E39_A_2	(1, 0.0006399258790166172)	(2, 0.006185950163827299)	(3, 6.273783127613893e-06)	(4, 0.0)	(5, 0.0)	(6, 0.004661420863817122)	(7, 0.0002885940238702391)	(8, 8.155918065898061e-05)	(9, 8.155918065898061e-05)	(10, 5.771880477404782e-05)	(15, 0.0010640336184433163)	(20, 0.0)	(25, 0.0)	(30, 1.3802322880750564e-05)	(35, 0.0)	(40, 2.760464576150113e-05)	(45, 0.00013300420230541454)	(50, 0.0)	(55, 0.0)	(60, 0.00023714900222380515)	(65, 2.5095132510455573e-05)	(70, 3.262367226359224e-05)	(75, 2.5095132510455574e-06)	(80, 1.631183613179612e-05)	(85, 9.285199028868562e-05)	(90, 0.00020452532996021293)	(95, 2.760464576150113e-05)	(100, 1.2547566255227787e-05)	(105, 0.00021330862633887237)	(110, 0.0002308752190961913)	(115, 0.00021205386971334962)	(120, 1.003805300418223e-05)	(125, 0.00017943019744975734)	(130, 0.0005771880477404782)	(135, 2.6349889135978353e-05)	(140, 2.2585619259410015e-05)	(145, 0.03353588033034731)	(150, 0.001697058336019558)
E8_1	(1, 0.017675390304318347)	(2, 0.010618042436434718)	(3, 0.00010887015767152606)	(4, 1.2808253843708948e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0025808631495073528)	(8, 0.0)	(9, 0.0)	(10, 5.123301537483579e-06)	(15, 0.00023182939457113194)	(20, 0.00015497987150887827)	(25, 4.610971383735221e-05)	(30, 0.0007108580883258465)	(35, 0.0003522269807019961)	(40, 0.00064425516833856)	(45, 0.0008658379598347248)	(50, 0.0008722420867565793)	(55, 0.0005289808837451795)	(60, 0.00021261701380556852)	(65, 0.0002945898384053058)	(70, 5.2513840759206684e-05)	(75, 0.0003214871714770946)	(80, 0.0003381379014739162)	(85, 0.0004534121860672967)	(90, 0.0024015475956954274)	(95, 0.0014332436051110312)	(100, 0.001764977379663093)	(105, 0.0018700050611815064)	(110, 0.0013230926220551343)	(115, 0.0023259788980175447)	(120, 0.0008235707221504854)	(125, 0.00022286361688053568)	(130, 0.00018571968073377972)	(135, 5.763714229669026e-05)	(140, 2.0493206149934317e-05)	(145, 0.0005341041852826631)	(150, 0.0001825176172728525)
E8_2	(1, 0.0006276044383417385)	(2, 0.007774610083131331)	(3, 6.404126921854474e-06)	(4, 0.0)	(5, 2.5616507687417896e-05)	(6, 0.0054178913758888845)	(7, 0.00033941872685828707)	(8, 8.325364998410816e-05)	(9, 8.325364998410816e-05)	(10, 6.019879306543205e-05)	(15, 0.001142496242858838)	(20, 0.0)	(25, 0.0)	(30, 2.0493206149934317e-05)	(35, 0.0)	(40, 2.177403153430521e-05)	(45, 0.00013576749074331484)	(50, 0.0)	(55, 0.0)	(60, 0.0002702541561022588)	(65, 2.8178158456159683e-05)	(70, 2.5616507687417896e-05)	(75, 3.8424761531126844e-06)	(80, 1.5369904612450738e-05)	(85, 7.04453961403992e-05)	(90, 0.00022030196611179392)	(95, 1.665072999682163e-05)	(100, 1.4089079228079841e-05)	(105, 0.00020749371226808493)	(110, 0.0002395143468773573)	(115, 0.00023182939457113194)	(120, 2.5616507687417896e-06)	(125, 0.00022286361688053568)	(130, 0.0006019879306543205)	(135, 3.7143936146755946e-05)	(140, 3.202063460927237e-05)	(145, 0.037955979440447096)	(150, 0.0020237041073060138)
