Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
E13_1	(1, 36.34435484964803)	(2, 36.39224391478377)	(3, 36.4593825157248)	(4, 36.471730523631635)	(5, 36.49101039896117)	(6, 36.48453630141925)	(7, 36.491805651432415)	(8, 36.49078874196627)	(9, 36.480171514684685)	(10, 36.467144401144196)	(15, 36.439378025475214)	(20, 36.40457302295167)	(25, 36.345159061202324)	(30, 36.30498478383625)	(35, 36.27338202886467)	(40, 36.2428646436034)	(45, 36.20857841125118)	(50, 36.16606053056332)	(55, 36.11052701181385)	(60, 36.09835927422147)	(65, 36.04493901041752)	(70, 35.99434037591028)	(75, 35.980740505692054)	(80, 35.93101804095193)	(85, 35.88821263080796)	(90, 35.820172285665535)	(95, 35.783510968273426)	(100, 35.715007570603646)	(105, 35.65103993181103)	(110, 35.59272276171052)	(115, 35.53948835426284)	(120, 35.41970623487932)	(125, 35.3566310064227)	(130, 35.26982250664436)	(135, 35.17587761535622)	(140, 35.01196523019133)	(145, 34.99293999270423)	(150, 34.74166020018375)
E13_2	(1, 36.271623692812675)	(2, 36.13660941895885)	(3, 36.20783270143838)	(4, 36.27690473317995)	(5, 36.2888754601792)	(6, 36.294644609951504)	(7, 36.236772324357354)	(8, 36.287036171137764)	(9, 36.258240036321766)	(10, 36.243445645493004)	(15, 36.22058783006725)	(20, 36.18231029052415)	(25, 36.130990378444515)	(30, 36.083557512672996)	(35, 36.033017433447576)	(40, 35.991422766636234)	(45, 35.942533728627595)	(50, 35.89353698530782)	(55, 35.84870211084563)	(60, 35.78368440327153)	(65, 35.73360741226702)	(70, 35.66974460545411)	(75, 35.60420180994893)	(80, 35.528312130170114)	(85, 35.454759557485545)	(90, 35.43732903678078)	(95, 35.304622422835884)	(100, 35.247206461533416)	(105, 35.18012397086549)	(110, 35.08233201005417)	(115, 34.99032304811563)	(120, 34.83985965649947)	(125, 34.724802454003495)	(130, 34.64115320888656)	(135, 34.535788770521116)	(140, 34.43011328064489)	(145, 34.19766892511706)	(150, 33.86832463540816)
E29_A_1	(1, 36.208514864064895)	(2, 36.18662150403939)	(3, 36.322874373453885)	(4, 36.31033355847221)	(5, 36.35502192970673)	(6, 36.408574978357905)	(7, 36.38227715596815)	(8, 36.38122404963633)	(9, 36.408478770204425)	(10, 36.37953973690673)	(15, 36.34816236421739)	(20, 36.313520741169405)	(25, 36.26531226404271)	(30, 36.229166089596845)	(35, 36.1954059279267)	(40, 36.17129650600685)	(45, 36.15061364935794)	(50, 36.13036201004243)	(55, 36.09950365568859)	(60, 36.07396068171252)	(65, 36.04312041853707)	(70, 36.01502126598426)	(75, 35.977023331109336)	(80, 35.94258186147606)	(85, 35.917857491198575)	(90, 35.86638109743667)	(95, 35.83775584684193)	(100, 35.79684634476969)	(105, 35.754323845367836)	(110, 35.69711770612455)	(115, 35.6335856469066)	(120, 35.58507728100082)	(125, 35.513579174032145)	(130, 35.50128803248321)	(135, 35.424370435525205)	(140, 35.38757765632007)	(145, 35.327302868893)	(150, 35.11602099638651)
E29_A_2	(1, 36.22194765884538)	(2, 36.220589809078646)	(3, 36.24393179082122)	(4, 36.21849206677807)	(5, 36.23025411405217)	(6, 36.26065772369107)	(7, 36.20881853290151)	(8, 36.23558860963731)	(9, 36.2394036232294)	(10, 36.21965765194582)	(15, 36.190375657440825)	(20, 36.17076488326544)	(25, 36.12778530031703)	(30, 36.08184924460481)	(35, 36.05209140533121)	(40, 35.995684362666815)	(45, 35.95368189298708)	(50, 35.91833802627266)	(55, 35.87790473559667)	(60, 35.845956473079895)	(65, 35.80480169710677)	(70, 35.742460962846394)	(75, 35.7115619128229)	(80, 35.64772938327856)	(85, 35.59554242719518)	(90, 35.54267470676899)	(95, 35.48713801287179)	(100, 35.44089417956475)	(105, 35.34296063841252)	(110, 35.29484231376184)	(115, 35.230370195953)	(120, 35.17865641710596)	(125, 35.06712719735599)	(130, 34.9898091924299)	(135, 34.82616377573387)	(140, 34.7021034123869)	(145, 34.58768423118654)	(150, 34.37175159206478)
E36_1	(1, 36.20810261392639)	(2, 36.179757395945856)	(3, 36.31875918998003)	(4, 36.311163760183405)	(5, 36.358280728666934)	(6, 36.413067446093336)	(7, 36.38359093280316)	(8, 36.376463406955395)	(9, 36.408754195133106)	(10, 36.380421752998785)	(15, 36.35348981243713)	(20, 36.319142843813324)	(25, 36.27287942974573)	(30, 36.236778946867034)	(35, 36.2031827908438)	(40, 36.18059339825438)	(45, 36.15890662768229)	(50, 36.1407871239306)	(55, 36.10835867242123)	(60, 36.08389324012229)	(65, 36.05270845655967)	(70, 36.02627301226462)	(75, 35.98652092110066)	(80, 35.95372305319235)	(85, 35.928910754711254)	(90, 35.879255099001384)	(95, 35.849420979466316)	(100, 35.80777463094084)	(105, 35.76569225935751)	(110, 35.7093911800334)	(115, 35.644825146101724)	(120, 35.59626813486674)	(125, 35.526405918909916)	(130, 35.514288348500024)	(135, 35.43455020767275)	(140, 35.397959531626256)	(145, 35.3407643388157)	(150, 35.12784893051225)
E36_2	(1, 36.18016187740995)	(2, 36.22209268752453)	(3, 36.239629461310166)	(4, 36.21315572862615)	(5, 36.23437792297235)	(6, 36.2595379228288)	(7, 36.19190345427431)	(8, 36.23000235876834)	(9, 36.22982344472179)	(10, 36.210761542875915)	(15, 36.18097737833502)	(20, 36.16026265521626)	(25, 36.118213547812694)	(30, 36.07331405646494)	(35, 36.04202811012414)	(40, 35.98545487526095)	(45, 35.945237646725666)	(50, 35.90807562022068)	(55, 35.867823718117066)	(60, 35.83575005407549)	(65, 35.79352730478256)	(70, 35.728597635554955)	(75, 35.69802301283555)	(80, 35.63287950804509)	(85, 35.577205671875426)	(90, 35.52375143997424)	(95, 35.46803012829024)	(100, 35.42071036445418)	(105, 35.3216629871403)	(110, 35.26994557867961)	(115, 35.20436443264444)	(120, 35.151486418812205)	(125, 35.03545310373785)	(130, 34.95572247964951)	(135, 34.784719357136126)	(140, 34.65471794448509)	(145, 34.54322637096477)	(150, 34.31468501307762)
E39_A_1	(1, 36.1679752105262)	(2, 36.17790140197722)	(3, 36.30046289226672)	(4, 36.29041109967749)	(5, 36.33241439140602)	(6, 36.381014252404086)	(7, 36.35807297237917)	(8, 36.35522988207923)	(9, 36.38914758485072)	(10, 36.35532804169004)	(15, 36.325302117163396)	(20, 36.29259418799241)	(25, 36.24407568541394)	(30, 36.20853327357346)	(35, 36.17863113078793)	(40, 36.1551206806101)	(45, 36.13627478818766)	(50, 36.110390865472155)	(55, 36.087241985963544)	(60, 36.05796629297087)	(65, 36.03333299873157)	(70, 36.001818230183346)	(75, 35.96923142266941)	(80, 35.93700095348956)	(85, 35.90995586644521)	(90, 35.86705940130794)	(95, 35.832500530448364)	(100, 35.802011801487964)	(105, 35.75471506798335)	(110, 35.70460879637094)	(115, 35.642845747874475)	(120, 35.6031300907829)	(125, 35.533229456214826)	(130, 35.52335105844368)	(135, 35.45428111040441)	(140, 35.4118084769601)	(145, 35.354665279240436)	(150, 35.16442337094634)
E39_A_2	(1, 36.17224433173105)	(2, 36.09656883036481)	(3, 36.19674000426366)	(4, 36.175539699056664)	(5, 36.20045276638076)	(6, 36.22414188135448)	(7, 36.17568587820354)	(8, 36.19443953346643)	(9, 36.217579880629984)	(10, 36.193700569646964)	(15, 36.16600884377565)	(20, 36.1451259543522)	(25, 36.10087879389782)	(30, 36.055607112111126)	(35, 36.02484172186236)	(40, 35.97117113838924)	(45, 35.931225208361745)	(50, 35.89499298151881)	(55, 35.856982864918045)	(60, 35.824798194355026)	(65, 35.78384147003271)	(70, 35.72461871396731)	(75, 35.690597117347224)	(80, 35.63810817583105)	(85, 35.58288025117216)	(90, 35.53327684837258)	(95, 35.4785648043527)	(100, 35.4334184351102)	(105, 35.34127723935474)	(110, 35.30482987194079)	(115, 35.232492487458394)	(120, 35.19213782046013)	(125, 35.078748688936166)	(130, 35.013599679685726)	(135, 34.86261994689117)	(140, 34.74682409177892)	(145, 34.64387180000986)	(150, 34.447354082156195)
E8_1	(1, 36.15518742926241)	(2, 36.1588911920264)	(3, 36.27184583780742)	(4, 36.2680491511618)	(5, 36.317696760875855)	(6, 36.374024515382104)	(7, 36.35076389386543)	(8, 36.3414802793557)	(9, 36.37708965860944)	(10, 36.347552288255386)	(15, 36.31330272288748)	(20, 36.2808522432792)	(25, 36.229181300897196)	(30, 36.19094695967597)	(35, 36.16102375348312)	(40, 36.13443924920322)	(45, 36.1062351028)	(50, 36.08418042961573)	(55, 36.05271966939848)	(60, 36.026260442649416)	(65, 35.99754177588105)	(70, 35.9715727978561)	(75, 35.9425524198602)	(80, 35.91276945123869)	(85, 35.886815471679)	(90, 35.84692194925485)	(95, 35.811303962854524)	(100, 35.78196339132078)	(105, 35.734951925179814)	(110, 35.689916606099644)	(115, 35.62871312079445)	(120, 35.59353662209586)	(125, 35.529708443796515)	(130, 35.51576290666926)	(135, 35.44634872866233)	(140, 35.40799785794763)	(145, 35.35160745827183)	(150, 35.20315251473093)
E8_2	(1, 35.967163031332)	(2, 35.99185747282521)	(3, 36.04379141989164)	(4, 36.029906952518715)	(5, 36.0531494503562)	(6, 36.07430292199178)	(7, 36.01867110395813)	(8, 36.02486056454556)	(9, 36.05190378362863)	(10, 36.030116354660805)	(15, 35.9959014996608)	(20, 35.964522763501165)	(25, 35.918499505377255)	(30, 35.86841118926494)	(35, 35.83665737619974)	(40, 35.772523208716066)	(45, 35.73137509221142)	(50, 35.68807750735498)	(55, 35.64911121285134)	(60, 35.617107959042535)	(65, 35.56674886363571)	(70, 35.50141821311923)	(75, 35.46645725171632)	(80, 35.40273684206482)	(85, 35.35323897364644)	(90, 35.299616514475794)	(95, 35.25370521329874)	(100, 35.196000443421745)	(105, 35.107812119054515)	(110, 35.070652082932675)	(115, 34.986994204457254)	(120, 34.962274594745246)	(125, 34.820801078147575)	(130, 34.76124940929934)	(135, 34.60616746881558)	(140, 34.480023510830755)	(145, 34.380607855391744)	(150, 34.193277639203146)
