Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
E13_1	(14.0, 1.0)	(15.0, 8.0)	(16.0, 15.0)	(17.0, 37.0)	(18.0, 88.0)	(19.0, 224.0)	(20.0, 558.0)	(21.0, 1148.0)	(22.0, 2300.0)	(23.0, 4500.0)	(24.0, 8360.0)	(25.0, 15132.0)	(26.0, 25715.0)	(27.0, 42811.0)	(28.0, 65011.0)	(29.0, 93968.0)	(30.0, 125330.0)	(31.0, 166875.0)	(32.0, 219901.0)	(33.0, 310391.0)	(34.0, 513936.0)	(35.0, 1367325.0)	(36.0, 7794619.0)	(37.0, 448251.0)			
E13_2	(11.0, 6.0)	(12.0, 460.0)	(13.0, 2233.0)	(14.0, 2921.0)	(15.0, 2308.0)	(16.0, 1676.0)	(17.0, 1548.0)	(18.0, 1629.0)	(19.0, 2250.0)	(20.0, 3189.0)	(21.0, 5184.0)	(22.0, 8386.0)	(23.0, 13313.0)	(24.0, 18594.0)	(25.0, 24621.0)	(26.0, 31337.0)	(27.0, 42159.0)	(28.0, 56080.0)	(29.0, 78755.0)	(30.0, 111153.0)	(31.0, 166421.0)	(32.0, 255679.0)	(33.0, 453905.0)	(34.0, 937292.0)	(35.0, 2770559.0)	(36.0, 6108964.0)	(37.0, 105882.0)
E29_A_1	(15.0, 1.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 4.0)	(19.0, 23.0)	(20.0, 82.0)	(21.0, 300.0)	(22.0, 922.0)	(23.0, 2438.0)	(24.0, 6086.0)	(25.0, 12999.0)	(26.0, 26821.0)	(27.0, 49792.0)	(28.0, 82893.0)	(29.0, 129111.0)	(30.0, 180513.0)	(31.0, 243920.0)	(32.0, 312905.0)	(33.0, 433329.0)	(34.0, 686597.0)	(35.0, 1842599.0)	(36.0, 11197616.0)	(37.0, 610912.0)				
E29_A_2	(11.0, 18.0)	(12.0, 415.0)	(13.0, 2688.0)	(14.0, 5075.0)	(15.0, 5378.0)	(16.0, 4615.0)	(17.0, 4371.0)	(18.0, 4049.0)	(19.0, 4431.0)	(20.0, 5040.0)	(21.0, 6902.0)	(22.0, 10795.0)	(23.0, 16398.0)	(24.0, 21764.0)	(25.0, 28300.0)	(26.0, 35988.0)	(27.0, 49050.0)	(28.0, 65579.0)	(29.0, 90700.0)	(30.0, 126405.0)	(31.0, 184923.0)	(32.0, 282909.0)	(33.0, 510729.0)	(34.0, 1132570.0)	(35.0, 3863792.0)	(36.0, 9175360.0)	(37.0, 181621.0)
E36_1	(15.0, 2.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 8.0)	(19.0, 28.0)	(20.0, 76.0)	(21.0, 264.0)	(22.0, 842.0)	(23.0, 2078.0)	(24.0, 4982.0)	(25.0, 11243.0)	(26.0, 22821.0)	(27.0, 44883.0)	(28.0, 76544.0)	(29.0, 121165.0)	(30.0, 171387.0)	(31.0, 234409.0)	(32.0, 303068.0)	(33.0, 420873.0)	(34.0, 671069.0)	(35.0, 1798670.0)	(36.0, 10857199.0)	(37.0, 584181.0)				
E36_2	(11.0, 12.0)	(12.0, 120.0)	(13.0, 916.0)	(14.0, 2473.0)	(15.0, 3856.0)	(16.0, 4008.0)	(17.0, 4107.0)	(18.0, 3898.0)	(19.0, 4071.0)	(20.0, 4666.0)	(21.0, 6546.0)	(22.0, 10141.0)	(23.0, 16107.0)	(24.0, 20859.0)	(25.0, 26162.0)	(26.0, 33029.0)	(27.0, 45232.0)	(28.0, 61912.0)	(29.0, 87526.0)	(30.0, 123841.0)	(31.0, 185554.0)	(32.0, 287026.0)	(33.0, 519990.0)	(34.0, 1161685.0)	(35.0, 3899525.0)	(36.0, 8654627.0)	(37.0, 157906.0)
E39_A_1	(15.0, 2.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 9.0)	(19.0, 28.0)	(20.0, 95.0)	(21.0, 282.0)	(22.0, 806.0)	(23.0, 2165.0)	(24.0, 5020.0)	(25.0, 11600.0)	(26.0, 23996.0)	(27.0, 46753.0)	(28.0, 80969.0)	(29.0, 127682.0)	(30.0, 180448.0)	(31.0, 246425.0)	(32.0, 319435.0)	(33.0, 441788.0)	(34.0, 704205.0)	(35.0, 1913840.0)	(36.0, 11260459.0)	(37.0, 573337.0)				
E39_A_2	(11.0, 12.0)	(12.0, 351.0)	(13.0, 2192.0)	(14.0, 4168.0)	(15.0, 4437.0)	(16.0, 3963.0)	(17.0, 3651.0)	(18.0, 3448.0)	(19.0, 3882.0)	(20.0, 4530.0)	(21.0, 6300.0)	(22.0, 9391.0)	(23.0, 14961.0)	(24.0, 19665.0)	(25.0, 25489.0)	(26.0, 32880.0)	(27.0, 45519.0)	(28.0, 62603.0)	(29.0, 89063.0)	(30.0, 126650.0)	(31.0, 189307.0)	(32.0, 292386.0)	(33.0, 536263.0)	(34.0, 1210340.0)	(35.0, 4067064.0)	(36.0, 9002231.0)	(37.0, 178600.0)
E8_1	(15.0, 5.0)	(16.0, 6.0)	(17.0, 13.0)	(18.0, 31.0)	(19.0, 85.0)	(20.0, 251.0)	(21.0, 704.0)	(22.0, 1621.0)	(23.0, 3541.0)	(24.0, 7377.0)	(25.0, 15113.0)	(26.0, 28733.0)	(27.0, 53176.0)	(28.0, 86860.0)	(29.0, 132550.0)	(30.0, 185689.0)	(31.0, 250669.0)	(32.0, 323160.0)	(33.0, 449083.0)	(34.0, 687140.0)	(35.0, 1758286.0)	(36.0, 10996356.0)	(37.0, 634482.0)				
E8_2	(11.0, 44.0)	(12.0, 788.0)	(13.0, 4184.0)	(14.0, 5807.0)	(15.0, 5384.0)	(16.0, 4674.0)	(17.0, 4393.0)	(18.0, 4412.0)	(19.0, 5164.0)	(20.0, 6335.0)	(21.0, 9472.0)	(22.0, 15092.0)	(23.0, 21932.0)	(24.0, 28680.0)	(25.0, 36230.0)	(26.0, 45302.0)	(27.0, 62296.0)	(28.0, 82872.0)	(29.0, 114102.0)	(30.0, 158224.0)	(31.0, 230259.0)	(32.0, 350729.0)	(33.0, 630510.0)	(34.0, 1401706.0)	(35.0, 4428801.0)	(36.0, 7847614.0)	(37.0, 109925.0)
