Sample	Unique Reads	Duplicate Reads
E13_1	4772208.0	6434296.0
E13_2	4966278.0	6240226.0
E29_A_1	5693328.0	10126537.0
E29_A_2	5728398.0	10091467.0
E36_1	5584008.0	9741787.0
E36_2	5668853.0	9656942.0
E39_A_1	5630185.0	10309161.0
E39_A_2	5683900.0	10255446.0
E8_1	5530083.0	10084848.0
E8_2	5719129.0	9895802.0
M12_1	5926990.0	10151379.0
M12_2	6095039.0	9983330.0
M1_1	5101712.0	9957979.0
M1_2	5240303.0	9819388.0
RAM22_1	5565296.0	10653062.0
RAM22_2	5732172.0	10486186.0
RAM23_1	5208094.0	10199149.0
RAM23_2	5242407.0	10164836.0
RAM33_1	4921138.0	7171722.0
RAM33_2	5049203.0	7043657.0
RAM46_1	5098232.0	10079667.0
RAM46_2	5197378.0	9980521.0
RAM54_1	5541861.0	10103578.0
RAM54_2	5684833.0	9960606.0
RAM87_1	5372115.0	10555266.0
RAM87_2	5469144.0	10458237.0
