Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
E13_1	(1.0, 15.553917101788914)	(2.0, 23.499454617480616)	(3.0, 23.206334048159)	(4.0, 16.57893356990398)	(5.0, 9.546667382375395)	(6.0, 4.787215126585252)	(7.0, 2.324385052917386)	(8.0, 1.1149884545206123)	(9.0, 0.49292416363357394)	('>10', 2.791632715976271)	('>50', 0.08627602919840552)	('>100', 0.007263337364700636)	('>500', 0.010008400095969257)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
E13_2	(1.0, 17.693716338255918)	(2.0, 23.559455660357642)	(3.0, 22.88246864165971)	(4.0, 16.0736508153528)	(5.0, 9.107897585887264)	(6.0, 4.560726629154316)	(7.0, 2.1014074303920296)	(8.0, 0.9590982290320094)	(9.0, 0.4233188950301744)	('>10', 2.503886330899927)	('>50', 0.0830629832293117)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.05131046074892508)	('>10k+', 0.0)
E29_A_1	(1.0, 10.2963764819196)	(2.0, 16.887621408536283)	(3.0, 21.356221829678194)	(4.0, 18.711053300380005)	(5.0, 13.879419028988051)	(6.0, 8.632895369085396)	(7.0, 4.7822116706914395)	(8.0, 2.3015475165671826)	(9.0, 1.0497960648028393)	('>10', 2.0990678741666837)	('>50', 0.0037894551843265507)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
E29_A_2	(1.0, 10.385237534237952)	(2.0, 17.12642088077246)	(3.0, 21.527828991073235)	(4.0, 19.21743994382924)	(5.0, 13.553582129601827)	(6.0, 8.351922089633074)	(7.0, 4.531545297825313)	(8.0, 2.170798573442417)	(9.0, 1.0726348651191435)	('>10', 1.9939648496615325)	('>50', 0.0023492580607457603)	('>100', 0.002762979522474835)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.06351260722057796)	('>10k+', 0.0)
E36_1	(1.0, 10.552037941096632)	(2.0, 17.287504730350463)	(3.0, 21.58337229461386)	(4.0, 19.170663406328778)	(5.0, 13.414516155896965)	(6.0, 8.490783599563038)	(7.0, 4.4494515701941175)	(8.0, 2.1946105096163673)	(9.0, 0.9804271945058223)	('>10', 1.8711131551108258)	('>50', 0.0)	('>100', 0.0018613254451353765)	('>500', 0.00365811727801869)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
E36_2	(1.0, 10.904524436845247)	(2.0, 17.830686218444114)	(3.0, 21.889387877532513)	(4.0, 19.254169812431616)	(5.0, 13.374961951464531)	(6.0, 7.825787959648064)	(7.0, 4.168853927851042)	(8.0, 1.9763233430174463)	(9.0, 0.9660209676003353)	('>10', 1.7610810904461567)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.04820241471892007)	('>10k+', 0.0)
E39_A_1	(1.0, 9.791044398717377)	(2.0, 16.43891214977576)	(3.0, 20.685421800928232)	(4.0, 19.07083774809616)	(5.0, 14.231957725952512)	(6.0, 8.979575270922673)	(7.0, 4.940172227700108)	(8.0, 2.4982027350440568)	(9.0, 1.1946612327669142)	('>10', 2.162556272765268)	('>50', 0.003560486806506161)	('>100', 0.0030979505244554586)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
E39_A_2	(1.0, 10.099998983828678)	(2.0, 16.436477127632713)	(3.0, 21.139707873535187)	(4.0, 19.100536196473186)	(5.0, 14.078188434771889)	(6.0, 8.643281237799478)	(7.0, 4.8233118004200675)	(8.0, 2.3889747660197145)	(9.0, 1.1729032037066143)	('>10', 2.0617555682940276)	('>50', 0.0011746042993886676)	('>100', 0.0013873046351757568)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.052302898583898305)	('>10k+', 0.0)
E8_1	(1.0, 10.281247886046891)	(2.0, 16.557884947962272)	(3.0, 20.39082473616125)	(4.0, 18.25535815067016)	(5.0, 13.48249440810712)	(6.0, 8.158514681716984)	(7.0, 4.711781374191812)	(8.0, 2.532531335981968)	(9.0, 1.376460630447853)	('>10', 4.187683909770255)	('>50', 0.010784478983937454)	('>100', 0.0070182610075070415)	('>500', 0.004015007680967666)	('>1k', 0.043400191270998464)	('>5k', 0.0)	('>10k+', 0.0)
E8_2	(1.0, 11.45600251195768)	(2.0, 16.938620655739733)	(3.0, 20.871948046843784)	(4.0, 18.265218267255698)	(5.0, 12.739013517517126)	(6.0, 7.8390540389486185)	(7.0, 4.379641875055447)	(8.0, 2.287011363412826)	(9.0, 1.2000156485549631)	('>10', 3.9403563725977704)	('>50', 0.007261310436951635)	('>100', 0.0046067055789881465)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.07124968610044545)
