Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
E13_1	57.41573099189229	37.0	151.0	151	9.090909090909092	11.206503999999999
E13_2	55.683971475304205	37.0	151.0	151	9.090909090909092	11.206503999999999
E29_A_1	64.01152602345243	32.0	151.0	151	9.090909090909092	15.819865
E29_A_2	63.78984622310247	32.0	151.0	151	9.090909090909092	15.819865
E36_1	63.56464996779918	32.0	151.0	151	9.090909090909092	15.325795
E36_2	63.01103936200631	32.0	151.0	151	9.090909090909092	15.325795
E39_A_1	64.67744225021474	32.0	151.0	151	9.090909090909092	15.939345999999999
E39_A_2	64.34044568601207	32.0	151.0	151	9.090909090909092	15.939345999999999
E8_1	64.58465172824364	37.0	151.0	151	9.090909090909092	15.614930999999999
E8_2	63.37397374833872	37.0	151.0	151	9.090909090909092	15.614930999999999
M12_1	63.136873480750914	37.0	151.0	151	9.090909090909092	16.078369
M12_2	62.09168579160341	37.0	151.0	151	9.090909090909092	16.078369
M1_1	66.1233972118314	37.0	151.0	151	9.090909090909092	15.059690999999999
M1_2	65.2031189382433	37.0	151.0	151	9.090909090909092	15.059690999999999
RAM22_1	65.68521061711911	37.0	151.0	151	9.090909090909092	16.218358
RAM22_2	64.65627883675528	37.0	151.0	151	9.090909090909092	16.218358
RAM23_1	66.19710744192906	37.0	151.0	151	9.090909090909092	15.407243
RAM23_2	65.97440310632993	37.0	151.0	151	9.090909090909092	15.407243
RAM33_1	59.30542938500223	36.0	151.0	151	9.090909090909092	12.09286
RAM33_2	58.24641379766106	36.0	151.0	151	9.090909090909092	12.09286
RAM46_1	66.41016318782235	37.0	151.0	151	9.090909090909092	15.177899
RAM46_2	65.75693943185587	37.0	151.0	151	9.090909090909092	15.177899
RAM54_1	64.57843022810275	37.0	151.0	151	9.090909090909092	15.645439
RAM54_2	63.664604043964985	37.0	151.0	151	9.090909090909092	15.645439
RAM87_1	66.2711989933956	37.0	151.0	151	9.090909090909092	15.927380999999999
RAM87_2	65.66200621229876	37.0	151.0	151	9.090909090909092	15.927380999999999
