Module	Section	Sample Name	Source
FastQC	all_sections	M1_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/M1_2_fastqc.zip
FastQC	all_sections	E13_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/E13_1_fastqc.zip
FastQC	all_sections	E8_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/E8_2_fastqc.zip
FastQC	all_sections	RAM54_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/RAM54_2_fastqc.zip
FastQC	all_sections	E29_A_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/E29_A_1_fastqc.zip
FastQC	all_sections	E36_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/E36_1_fastqc.zip
FastQC	all_sections	E39_A_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/E39_A_2_fastqc.zip
FastQC	all_sections	RAM22_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/RAM22_2_fastqc.zip
FastQC	all_sections	RAM23_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/RAM23_2_fastqc.zip
FastQC	all_sections	RAM46_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/RAM46_1_fastqc.zip
FastQC	all_sections	E29_A_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/E29_A_2_fastqc.zip
FastQC	all_sections	E13_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/E13_2_fastqc.zip
FastQC	all_sections	M12_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/M12_2_fastqc.zip
FastQC	all_sections	RAM23_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/RAM23_1_fastqc.zip
FastQC	all_sections	RAM33_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/RAM33_1_fastqc.zip
FastQC	all_sections	RAM54_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/RAM54_1_fastqc.zip
FastQC	all_sections	M12_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/M12_1_fastqc.zip
FastQC	all_sections	RAM46_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/RAM46_2_fastqc.zip
FastQC	all_sections	E36_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/E36_2_fastqc.zip
FastQC	all_sections	RAM87_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/RAM87_1_fastqc.zip
FastQC	all_sections	RAM22_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/RAM22_1_fastqc.zip
FastQC	all_sections	E8_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/E8_1_fastqc.zip
FastQC	all_sections	M1_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/M1_1_fastqc.zip
FastQC	all_sections	RAM33_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/RAM33_2_fastqc.zip
FastQC	all_sections	RAM87_2	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/RAM87_2_fastqc.zip
FastQC	all_sections	E39_A_1	/mnt/Disco2TB_B/lucas_proyecto/datos_crudos/17092023/fastaqc_out/E39_A_1_fastqc.zip
