xxa	E13
xxb	E8
xxc	M12
xxd	M1
xxe	RAM22
xxf	RAM23
xxg	RAM33
xxh	RAM46
xxi	RAM54
xxj	RAM87
aaa	GCA_000185885.1
aab	GCA_000189495.1
aac	GCA_001622945.1
aad	GCA_001622965.1
aae	GCA_001623005.1
aaf	GCA_001682335.1
aag	GCA_001682435.2
aah	GCA_001685665.2
aai	GCA_001792775.2
aaj	GCA_001940385.1
aak	GCA_002362305.1
aal	GCA_002362325.1
aam	GCA_002366355.1
aan	GCA_002366365.1
aao	GCA_002366375.1
aap	GCA_002366395.1
aaq	GCA_002366435.1
aar	GCA_002366445.1
aas	GCA_002369795.1
aat	GCA_002847225.2
aau	GCA_002847235.2
aav	GCA_002922545.1
aaw	GCA_002922555.1
aax	GCA_002922565.1
aay	GCA_002922575.1
aaz	GCA_002922625.1
aba	GCA_002922635.1
abb	GCA_002922645.1
abc	GCA_002922675.1
abd	GCA_002922705.1
abe	GCA_002950775.1
abf	GCA_002976235.2
abg	GCA_002976255.1
abh	GCA_002976305.1
abi	GCA_003337115.1
abj	GCA_003627735.1
abk	GCA_004001305.1
abl	GCA_004166335.1
abm	GCA_004166345.1
abn	GCA_004166355.1
abo	GCA_004166375.1
abp	GCA_004166385.1
abq	GCA_004166435.1
abr	GCA_004166445.1
abs	GCA_004166455.1
abt	GCA_004166465.1
abu	GCA_004166495.1
abv	GCA_004166535.1
abw	GCA_004166545.1
abx	GCA_004166575.1
aby	GCA_004166635.1
abz	GCA_004166645.1
aca	GCA_004166685.1
acb	GCA_004166695.1
acc	GCA_004166735.1
acd	GCA_004166775.1
ace	GCA_004166835.1
acf	GCA_004166855.1
acg	GCA_004166865.1
ach	GCA_004166875.1
aci	GCA_004307335.1
acj	GCA_004307355.1
ack	GCA_004307375.1
acl	GCA_004307395.1
acm	GCA_004320065.1
acn	GCA_004320075.1
aco	GCA_004322615.1
acp	GCA_004322625.1
acq	GCA_004794815.2
acr	GCA_004794825.2
acs	GCA_004794835.2
act	GCA_004794845.2
acu	GCA_004794855.2
acv	GCA_006381905.1
acw	GCA_006381995.1
acx	GCA_006382015.1
acy	GCA_006382055.1
acz	GCA_006382125.1
ada	GCA_006382135.1
adb	GCA_006382145.1
adc	GCA_006382195.1
add	GCA_006382205.1
ade	GCA_006382215.1
adf	GCA_006382235.1
adg	GCA_006382275.1
adh	GCA_006382295.1
adi	GCA_006382305.1
adj	GCA_006382315.1
adk	GCA_006382325.1
adl	GCA_006382355.1
adm	GCA_006382395.1
adn	GCA_006382405.1
ado	GCA_006382415.1
adp	GCA_006382445.1
adq	GCA_006382455.1
adr	GCA_006382495.1
ads	GCA_006382505.1
adt	GCA_006382515.1
adu	GCA_006382545.1
adv	GCA_006382555.1
adw	GCA_006382595.1
adx	GCA_006383085.1
ady	GCA_006383115.1
adz	GCA_006383175.1
aea	GCA_006406235.1
aeb	GCA_006406245.1
aec	GCA_007050485.1
aed	GCA_007050525.1
aee	GCA_007050535.1
aef	GCA_007050545.1
aeg	GCA_007050575.1
aeh	GCA_007833515.1
aei	GCA_007833535.1
aej	GCA_007833695.1
aek	GCA_007833715.1
ael	GCA_007833735.1
aem	GCA_007833755.1
aen	GCA_009649855.1
aeo	GCA_009877195.1
aep	GCA_009939245.1
aeq	GCA_012275735.1
aer	GCA_012275775.1
aes	GCA_013285265.2
aet	GCA_014397225.1
aeu	GCA_014397325.1
aev	GCA_014397375.1
aew	GCA_014397405.1
aex	GCA_014397425.1
aey	GCA_014397475.1
aez	GCA_014397505.1
afa	GCA_014397515.1
afb	GCA_014397615.1
afc	GCA_015234395.1
afd	GCA_015583415.1
afe	GCA_015583435.1
aff	GCA_015583465.1
afg	GCA_015583495.1
afh	GCA_015583515.1
afi	GCA_015583575.1
afj	GCA_015583595.1
afk	GCA_015583635.1
afl	GCA_015583655.1
afm	GCA_015583675.1
afn	GCA_015583695.1
afo	GCA_015583715.1
afp	GCA_015583735.1
afq	GCA_015583755.1
afr	GCA_015583775.1
afs	GCA_015583795.1
aft	GCA_015583815.1
afu	GCA_015583855.1
afv	GCA_015583875.1
afw	GCA_015583895.1
afx	GCA_015583915.1
afy	GCA_015583935.1
afz	GCA_015583995.1
