locus_tag	ftype	length_bp	gene	EC_number	COG	product
LEJOCHOB_00001	CDS	1242	ypiA		COG0457	TPR repeat-containing protein YpiA
LEJOCHOB_00002	CDS	1290	aroA_1	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
LEJOCHOB_00003	CDS	1074	aroB	4.2.3.4		3-dehydroquinate synthase
LEJOCHOB_00004	CDS	1170	aroC	4.2.3.5		Chorismate synthase
LEJOCHOB_00005	CDS	453	ndk	2.7.4.6		Nucleoside diphosphate kinase
LEJOCHOB_00006	CDS	957	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
LEJOCHOB_00007	CDS	714	menG	2.1.1.163		Demethylmenaquinone methyltransferase
LEJOCHOB_00008	CDS	570				hypothetical protein
LEJOCHOB_00009	CDS	273	hup			DNA-binding protein HU
LEJOCHOB_00010	CDS	999	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
LEJOCHOB_00011	CDS	1311	der			GTPase Der
LEJOCHOB_00012	CDS	1185	rpsA			Small ribosomal subunit protein bS1
LEJOCHOB_00013	CDS	660	cmk	2.7.4.25		Cytidylate kinase
LEJOCHOB_00014	CDS	969	ansZ	3.5.1.1	COG0252	L-asparaginase 2
LEJOCHOB_00015	CDS	987	bdr	1.8.1.-	COG0492	Bacilliredoxin reductase Bdr
LEJOCHOB_00016	CDS	1356				hypothetical protein
LEJOCHOB_00017	CDS	1377	recS	5.6.2.4	COG0514	putative ATP-dependent DNA helicase RecS
LEJOCHOB_00018	CDS	948	ypbB		COG4955	Protein YpbB
LEJOCHOB_00019	CDS	249				Ferredoxin
LEJOCHOB_00020	CDS	546	ribU			Riboflavin transporter RibU
LEJOCHOB_00021	CDS	1758	srrB	2.7.13.3		Sensor protein SrrB
LEJOCHOB_00022	CDS	726	srrA			Transcriptional regulatory protein SrrA
LEJOCHOB_00023	CDS	747	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
LEJOCHOB_00024	CDS	543	scpB		COG1386	Segregation and condensation protein B
LEJOCHOB_00025	CDS	729	scpA		COG1354	Segregation and condensation protein A
LEJOCHOB_00026	CDS	507				hypothetical protein
LEJOCHOB_00027	CDS	888	xerD			Tyrosine recombinase XerD
LEJOCHOB_00028	CDS	456	fur		COG0735	Ferric uptake regulation protein
LEJOCHOB_00029	CDS	543	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
LEJOCHOB_00030	CDS	921	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
LEJOCHOB_00031	CDS	756	capC	1.1.1.-		NADPH-dependent 3-dehydrocapnine reductase
LEJOCHOB_00032	CDS	816	proC	1.5.1.2		Pyrroline-5-carboxylate reductase
LEJOCHOB_00033	CDS	918	rnz	3.1.26.11	COG1234	Ribonuclease Z
LEJOCHOB_00034	CDS	1485	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
LEJOCHOB_00035	CDS	858				hypothetical protein
LEJOCHOB_00036	CDS	354				hypothetical protein
LEJOCHOB_00037	CDS	498				hypothetical protein
LEJOCHOB_00038	CDS	270				hypothetical protein
LEJOCHOB_00039	CDS	1404	gnd	1.1.1.44		6-phosphogluconate dehydrogenase, decarboxylating
LEJOCHOB_00040	CDS	1116	pepT_1	3.4.11.4	COG2195	Peptidase T
LEJOCHOB_00041	CDS	978				hypothetical protein
LEJOCHOB_00042	CDS	438				Bacilliredoxin
LEJOCHOB_00043	CDS	1275	pdhC_1	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
LEJOCHOB_00044	CDS	984	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
LEJOCHOB_00045	CDS	999	bfmBAA	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
LEJOCHOB_00046	CDS	1419	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
LEJOCHOB_00047	CDS	1059	buk2	2.7.2.7	COG3426	Butyrate kinase 2
LEJOCHOB_00048	CDS	894	ptb	2.3.1.19	COG0280	Phosphate butyryltransferase
LEJOCHOB_00049	CDS	1683	recN		COG0497	DNA repair protein RecN
LEJOCHOB_00050	CDS	453	argR_1			Arginine repressor
LEJOCHOB_00051	CDS	1869	dxs	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
LEJOCHOB_00052	CDS	882		2.5.1.10		Farnesyl diphosphate synthase
LEJOCHOB_00053	CDS	225				hypothetical protein
LEJOCHOB_00054	CDS	1347	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
LEJOCHOB_00055	CDS	393	nusB			Transcription antitermination protein NusB
LEJOCHOB_00056	CDS	375				putative protein
LEJOCHOB_00057	CDS	1356	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
LEJOCHOB_00058	CDS	462	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
