qseqid	sseqid	pident	qcovs	qlen	slen	length	nident	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
ccrC1	2	96.840	100	1677	296115	1677	1624	53	0	1	1677	201961	200285	0.0	2804
ccrC1	2	98.211	100	1677	296115	1677	1647	30	0	1	1677	201961	200285	0.0	2931
IS431_1	2	96.334	100	791	296115	791	762	28	1	1	791	215562	216351	0.0	1299
IS431_1	2	95.704	100	675	296115	675	646	28	1	1	675	216291	215618	0.0	1085
IS431_1	2	93.813	100	790	296115	792	743	45	4	1	790	215562	216351	0.0	1188
IS431_1	2	93.687	100	790	296115	792	742	46	4	1	790	216351	215562	0.0	1182
IS431_2	2	93.561	100	789	296115	792	741	46	5	1	789	216351	215562	0.0	1175
IS431_2	2	95.407	100	675	296115	675	644	30	1	1	675	216291	215618	0.0	1074
IS431_2	2	93.813	100	790	296115	792	743	45	4	1	790	215562	216351	0.0	1188
IS431_2	2	93.434	100	790	296115	792	740	48	4	1	790	215562	216351	0.0	1171
IS431	2	93.829	100	792	296115	794	745	45	4	1	792	215561	216352	0.0	1192
IS431	2	93.829	100	792	296115	794	745	45	4	1	792	215561	216352	0.0	1192
IS431	2	93.821	100	791	296115	793	744	45	4	1	791	215561	216351	0.0	1190
IS431	2	93.829	100	792	296115	794	745	45	4	1	792	215561	216352	0.0	1192
IS431	2	93.821	99	792	296115	793	744	45	4	1	791	215561	216351	0.0	1190
IS431	2	93.829	100	792	296115	794	745	45	4	1	792	216352	215561	0.0	1192
IS431	2	95.556	100	675	296115	675	645	29	1	1	675	215618	216291	0.0	1079
IS431	2	95.704	100	675	296115	675	646	28	1	1	675	216291	215618	0.0	1085
IS431	2	93.813	100	790	296115	792	743	45	4	1	790	216351	215562	0.0	1188
mecA	2	99.900	100	2007	296115	2007	2005	2	0	1	2007	211036	213042	0.0	3696
mecA	2	99.900	100	2007	296115	2007	2005	2	0	1	2007	211036	213042	0.0	3696
mecA	2	99.851	100	2007	296115	2007	2004	3	0	1	2007	211036	213042	0.0	3690
mecA	2	99.950	100	2007	296115	2007	2006	1	0	1	2007	211036	213042	0.0	3701
mecA	2	99.900	100	2007	296115	2007	2005	2	0	1	2007	211036	213042	0.0	3696
mecA	2	99.900	100	2007	296115	2007	2005	2	0	1	2007	211036	213042	0.0	3696
mecA	2	99.900	100	2007	296115	2007	2005	2	0	1	2007	211036	213042	0.0	3696
mecA	2	99.950	100	2007	296115	2007	2006	1	0	1	2007	211036	213042	0.0	3701
mecA	2	99.950	100	2010	296115	2010	2009	1	0	1	2010	211033	213042	0.0	3707
mecA	2	99.851	100	2010	296115	2010	2007	3	0	1	2010	211033	213042	0.0	3696
mecA	2	99.851	100	2007	296115	2007	2004	3	0	1	2007	211036	213042	0.0	3690
mecA	2	99.950	100	2010	296115	2010	2009	1	0	1	2010	211033	213042	0.0	3707
mecA	2	99.900	100	2007	296115	2007	2005	2	0	1	2007	211036	213042	0.0	3696
mecA	2	99.900	100	2010	296115	2010	2008	2	0	1	2010	211033	213042	0.0	3701
mecI	2	100.000	100	372	296115	372	372	0	0	1	372	209179	208808	0.0	688
mecI	2	99.510	100	204	296115	204	203	1	0	1	204	209179	208976	4.12e-104	372
mecI	2	100.000	100	372	296115	372	372	0	0	1	372	209179	208808	0.0	688
mecI	2	100.000	100	372	296115	372	372	0	0	1	372	209179	208808	0.0	688
mecI	2	100.000	100	372	296115	372	372	0	0	1	372	209179	208808	0.0	688
mecI	2	100.000	100	372	296115	372	372	0	0	1	372	209179	208808	0.0	688
mecR1	2	100.000	99	987	296115	975	975	0	0	1	975	210936	209962	0.0	1801
mecR1	2	100.000	100	1758	296115	1758	1758	0	0	1	1758	210936	209179	0.0	3247
mecR1	2	100.000	85	114	296115	97	97	0	0	1	97	210936	210840	1.38e-46	180
mecR1	2	100.000	99	987	296115	975	975	0	0	1	975	210936	209962	0.0	1801
mecR1	2	100.000	83	111	296115	92	92	0	0	1	92	210936	210845	8.07e-44	171
mecR1	2	100.000	99	969	296115	957	957	0	0	1	957	210918	209962	0.0	1768
mecR1	2	100.000	97	999	296115	968	968	0	0	1	968	210936	209969	0.0	1788
mecR1	2	100.000	100	1758	296115	1758	1758	0	0	1	1758	210936	209179	0.0	3247
mecR1	2	100.000	100	92	296115	92	92	0	0	1	92	210936	210845	6.40e-44	171
mecR1	2	100.000	100	129	296115	129	129	0	0	1	129	210920	211048	2.61e-64	239
mecR1	2	100.000	83	111	296115	92	92	0	0	1	92	210936	210845	8.07e-44	171
mecR1	2	100.000	100	1758	296115	1758	1758	0	0	1	1758	210936	209179	0.0	3247
mecR1	2	100.000	100	1758	296115	1758	1758	0	0	1	1758	210936	209179	0.0	3247
mecR1	2	99.886	100	1758	296115	1758	1756	2	0	1	1758	210936	209179	0.0	3236
