qseqid	sseqid	pident	qcovs	qlen	slen	length	nident	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
III	8	92.946	26	68256	133705	6280	5837	419	21	57981	64248	115928	109661	0.0	9121
III	8	99.609	26	68256	133705	4097	4081	16	0	24225	28321	104006	99910	0.0	7478
III	8	99.948	26	68256	133705	1925	1924	1	0	22300	24224	106097	104173	0.0	3550
III	8	95.859	26	68256	133705	1787	1713	70	4	27992	29776	100279	98495	0.0	2887
III	8	93.687	26	68256	133705	792	742	46	4	34225	35014	99284	98495	0.0	1182
III	8	93.350	26	68256	133705	797	744	49	4	36061	36855	99289	98495	0.0	1175
III	8	93.434	26	68256	133705	792	740	48	4	43790	44579	99284	98495	0.0	1171
III	8	76.725	26	68256	133705	1319	1012	265	34	8835	10133	114604	115900	0.0	697
III	8	93.030	26	68256	133705	330	307	23	0	28032	28361	100279	99950	7.09e-135	483
III	8	91.515	26	68256	133705	330	302	28	0	27952	28281	100239	99910	1.54e-126	455
III	8	90.311	26	68256	133705	289	261	28	0	28073	28361	100278	99990	9.56e-104	379
III	8	90.068	26	68256	133705	292	263	25	3	27952	28241	100199	99910	1.24e-102	375
III	8	88.845	26	68256	133705	251	223	28	0	28111	28361	100280	100030	1.27e-82	309
III	8	94.697	26	68256	133705	132	125	7	0	35899	36030	121655	121524	1.72e-51	206
III	14	73.220	2	68256	62088	1475	1080	345	40	18799	20252	58215	56770	4.23e-137	490
IIa	8	99.227	15	58237	133705	7628	7569	53	5	42483	50108	106097	98474	0.0	13754
IIa	8	93.821	15	58237	133705	793	744	45	4	54642	55432	99284	98494	0.0	1190
IIa	8	91.818	15	58237	133705	330	303	27	0	48301	48630	100239	99910	2.83e-128	460
IIa	8	91.818	15	58237	133705	330	303	27	0	48341	48670	100279	99950	2.83e-128	460
IIa	8	89.655	15	58237	133705	290	260	30	0	48301	48590	100199	99910	4.91e-101	370
IIa	8	89.655	15	58237	133705	290	260	30	0	48381	48670	100279	99990	4.91e-101	370
IIa	8	89.157	15	58237	133705	249	222	27	0	48302	48550	100158	99910	3.02e-83	311
IIa	8	89.157	15	58237	133705	249	222	27	0	48422	48670	100278	100030	3.02e-83	311
IIa	8	79.392	15	58237	133705	296	235	49	9	29905	30194	115639	115928	2.45e-49	198
IIa	8	91.250	15	58237	133705	80	73	7	0	57577	57656	121499	121420	1.18e-22	110
IIa	14	72.539	9	58237	62088	3627	2631	856	114	11009	14565	36514	32958	0.0	1051
IIa	14	73.220	9	58237	62088	1475	1080	345	40	38986	40439	58215	56770	3.61e-137	490
IIb	8	99.919	6	26207	133705	1240	1239	1	0	24968	26207	106097	104858	0.0	2285
IIb	8	79.392	6	26207	133705	296	235	49	9	11058	11347	115639	115928	1.10e-49	198
IIb	14	73.220	6	26207	62088	1475	1080	345	40	20139	21592	58215	56770	1.63e-137	490
IIc	8	99.947	24	27029	133705	5641	5638	3	0	18207	23847	105919	100279	0.0	10401
IIc	8	93.829	24	27029	133705	794	745	45	4	23844	24635	99285	98494	0.0	1192
IIc	8	91.358	24	27029	133705	81	74	7	0	26780	26860	121499	121419	1.52e-23	111
IIc	28	100.000	4	27029	7990	1041	1041	0	0	17166	18206	1	1041	0.0	1923
IIc	42	99.879	3	27029	824	824	823	1	0	16342	17165	1	824	0.0	1517
IIe	8	99.920	10	26707	133705	2508	2506	2	0	1	2508	103590	106097	0.0	4621
IIe	8	79.392	10	26707	133705	296	235	49	9	14797	15086	115928	115639	1.12e-49	198
IIe	14	73.220	5	26707	62088	1475	1080	345	40	4552	6005	56770	58215	1.66e-137	490
IVa	8	99.256	25	26090	133705	4975	4938	37	0	16572	21546	104884	99910	0.0	8983
IVa	8	95.694	25	26090	133705	1788	1711	73	4	21217	23002	100279	98494	0.0	2872
IVa	8	93.656	25	26090	133705	331	310	19	2	21177	21506	100239	99910	1.25e-138	494
IVa	8	93.030	25	26090	133705	330	307	21	2	21258	21586	100278	99950	9.74e-135	481
IVa	8	90.034	25	26090	133705	291	262	29	0	21296	21586	100280	99990	1.31e-103	377
IVa	8	89.726	25	26090	133705	292	262	26	3	21177	21466	100199	99910	2.20e-101	370
IVa	8	88.400	25	26090	133705	250	221	29	0	21337	21586	100279	100030	8.14e-81	302
IVa	8	91.250	25	26090	133705	80	73	7	0	25146	25225	121499	121420	5.29e-23	110
IVb	8	99.256	30	21777	133705	4975	4938	37	0	12569	17543	104884	99910	0.0	8983
IVb	8	95.694	30	21777	133705	1788	1711	73	4	17214	18999	100279	98494	0.0	2872
IVb	8	93.656	30	21777	133705	331	310	19	2	17174	17503	100239	99910	1.04e-138	494
