qseqid	sseqid	pident	qcovs	qlen	slen	length	nident	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
III	101	98.780	2	68256	5639	328	324	2	1	29459	29784	5639	5312	6.62e-165	582
III	101	99.686	2	68256	5639	318	317	1	0	44262	44579	5639	5322	6.62e-165	582
III	101	99.686	2	68256	5639	318	317	1	0	36538	36855	5639	5322	6.62e-165	582
III	101	99.371	2	68256	5639	318	316	2	0	34697	35014	5639	5322	3.08e-163	577
III	357	99.054	2	68256	317	317	314	3	0	28987	29303	1	317	5.15e-161	569
III	357	99.054	2	68256	317	317	314	3	0	34225	34541	1	317	5.15e-161	569
III	357	98.107	2	68256	317	317	311	6	0	36066	36382	1	317	5.19e-156	553
III	357	98.107	2	68256	317	317	311	6	0	43790	44106	1	317	5.19e-156	553
III	126	98.438	2	68256	3415	320	315	5	0	34221	34540	3095	3414	2.40e-159	564
III	126	98.433	2	68256	3415	319	314	5	0	28984	29302	3096	3414	8.62e-159	562
III	126	98.428	2	68256	3415	318	313	5	0	43788	44105	3097	3414	3.10e-158	560
III	126	98.119	2	68256	3415	319	313	6	0	36063	36381	3096	3414	4.01e-157	556
III	33	73.220	2	68256	22349	1475	1080	345	40	18799	20252	9598	8153	4.12e-137	490
III	351	93.125	2	68256	320	320	298	19	3	36539	36856	2	320	6.95e-130	466
III	351	93.125	2	68256	320	320	298	19	3	44263	44580	2	320	6.95e-130	466
III	351	93.103	2	68256	320	319	297	19	3	29460	29776	2	319	2.50e-129	464
III	351	92.790	2	68256	320	319	296	20	3	34698	35014	2	319	1.16e-127	459
III	499	100.000	1	68256	155	155	155	0	0	29304	29458	1	155	5.81e-76	287
III	499	100.000	1	68256	155	155	155	0	0	34542	34696	1	155	5.81e-76	287
III	499	100.000	1	68256	155	155	155	0	0	36383	36537	1	155	5.81e-76	287
III	499	100.000	1	68256	155	155	155	0	0	44107	44261	1	155	5.81e-76	287
IIa	50	72.512	6	58237	15993	3627	2630	857	112	11009	14565	15983	12427	0.0	1046
IIa	101	99.687	1	58237	5639	319	318	1	0	55114	55432	5639	5321	1.57e-165	584
