qseqid	sseqid	pident	qcovs	qlen	slen	length	nident	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
ccrC1	15	91.790	99	1623	73239	1620	1487	119	13	1	1613	41486	43098	0.0	2242
ccrC1	15	96.422	100	1677	73239	1677	1617	60	0	1	1677	24876	26552	0.0	2765
ccrC1	15	95.107	100	1677	73239	1676	1594	79	3	1	1675	41486	43159	0.0	2638
ccrC1	15	99.940	100	1677	73239	1677	1676	1	0	1	1677	24876	26552	0.0	3092
ccrC1	15	92.661	100	1677	73239	1676	1553	120	3	1	1675	41486	43159	0.0	2410
IS431_1	15	98.736	100	791	73239	791	781	10	0	1	791	33602	34392	0.0	1406
IS431_1	15	98.632	100	791	73239	731	721	10	0	1	731	28804	28074	0.0	1295
IS431_1	15	99.704	100	675	73239	675	673	2	0	1	675	28074	28748	0.0	1236
IS431_1	15	97.037	100	675	73239	675	655	20	0	1	675	34332	33658	0.0	1136
IS431_1	15	99.747	100	790	73239	790	788	2	0	1	790	28804	28015	0.0	1448
IS431_1	15	96.990	100	790	73239	731	709	22	0	1	731	33602	34332	0.0	1229
IS431_1	15	98.608	100	790	73239	790	779	11	0	1	790	28015	28804	0.0	1399
IS431_1	15	94.318	100	790	73239	792	747	42	3	1	790	34392	33602	0.0	1210
IS431_2	15	99.367	100	789	73239	790	785	4	1	1	789	28015	28804	0.0	1430
IS431_2	15	96.717	100	789	73239	731	707	24	0	59	789	34332	33602	0.0	1218
IS431_2	15	99.111	100	675	73239	675	669	6	0	1	675	28074	28748	0.0	1214
IS431_2	15	97.037	100	675	73239	675	655	20	0	1	675	34332	33658	0.0	1136
IS431_2	15	99.747	100	790	73239	790	788	2	0	1	790	28804	28015	0.0	1448
IS431_2	15	96.990	100	790	73239	731	709	22	0	1	731	33602	34332	0.0	1229
IS431_2	15	99.114	100	790	73239	790	783	7	0	1	790	28804	28015	0.0	1421
IS431_2	15	97.401	100	790	73239	731	712	19	0	1	731	33602	34332	0.0	1245
IS431	15	99.747	99	792	73239	791	789	2	0	1	791	28805	28015	0.0	1450
IS431	15	96.995	99	792	73239	732	710	22	0	1	732	33601	34332	0.0	1230
IS431	15	99.747	99	792	73239	791	789	2	0	1	791	28805	28015	0.0	1450
IS431	15	96.995	99	792	73239	732	710	22	0	1	732	33601	34332	0.0	1230
IS431	15	99.747	100	791	73239	791	789	2	0	1	791	28805	28015	0.0	1450
IS431	15	96.995	100	791	73239	732	710	22	0	1	732	33601	34332	0.0	1230
IS431	15	99.747	99	792	73239	791	789	2	0	1	791	28805	28015	0.0	1450
IS431	15	96.995	99	792	73239	732	710	22	0	1	732	33601	34332	0.0	1230
IS431	15	99.747	99	792	73239	791	789	2	0	1	791	28805	28015	0.0	1450
IS431	15	96.995	99	792	73239	732	710	22	0	1	732	33601	34332	0.0	1230
IS431	15	99.747	99	792	73239	791	789	2	0	2	792	28015	28805	0.0	1450
IS431	15	96.995	99	792	73239	732	710	22	0	61	792	34332	33601	0.0	1230
IS431	15	99.556	100	675	73239	675	672	3	0	1	675	28748	28074	0.0	1230
IS431	15	96.889	100	675	73239	675	654	21	0	1	675	33658	34332	0.0	1131
IS431	15	100.000	100	675	73239	675	675	0	0	1	675	28074	28748	0.0	1247
IS431	15	97.333	100	675	73239	675	657	18	0	1	675	34332	33658	0.0	1147
IS431	15	99.747	100	790	73239	790	788	2	0	1	790	28015	28804	0.0	1448
IS431	15	96.990	100	790	73239	731	709	22	0	60	790	34332	33602	0.0	1229
mecA	15	99.900	100	2007	73239	2007	2005	2	0	1	2007	33410	31404	0.0	3696
mecA	15	99.900	100	2007	73239	2007	2005	2	0	1	2007	33410	31404	0.0	3696
mecA	15	99.851	100	2007	73239	2007	2004	3	0	1	2007	33410	31404	0.0	3690
mecA	15	99.950	100	2007	73239	2007	2006	1	0	1	2007	33410	31404	0.0	3701
mecA	15	100.000	100	2007	73239	2007	2007	0	0	1	2007	33410	31404	0.0	3707
mecA	15	99.900	100	2007	73239	2007	2005	2	0	1	2007	33410	31404	0.0	3696
mecA	15	99.900	100	2007	73239	2007	2005	2	0	1	2007	33410	31404	0.0	3696
mecA	15	99.950	100	2007	73239	2007	2006	1	0	1	2007	33410	31404	0.0	3701
mecA	15	99.950	100	2010	73239	2010	2009	1	0	1	2010	33413	31404	0.0	3707
mecA	15	99.851	100	2010	73239	2010	2007	3	0	1	2010	33413	31404	0.0	3696
mecA	15	99.950	100	2007	73239	2007	2006	1	0	1	2007	33410	31404	0.0	3701
mecA	15	99.950	100	2010	73239	2010	2009	1	0	1	2010	33413	31404	0.0	3707
mecA	15	99.900	100	2007	73239	2007	2005	2	0	1	2007	33410	31404	0.0	3696
mecA	15	99.900	100	2010	73239	2010	2008	2	0	1	2010	33413	31404	0.0	3701
mecR1	15	100.000	81	114	73239	92	92	0	0	1	92	33510	33601	8.66e-44	171
mecR1	15	100.000	100	111	73239	111	111	0	0	1	111	33510	33620	2.30e-54	206
mecR1	15	100.000	100	92	73239	92	92	0	0	1	92	33510	33601	6.66e-44	171
mecR1	15	100.000	100	129	73239	129	129	0	0	1	129	33526	33398	2.71e-64	239
mecR1	15	100.000	100	111	73239	111	111	0	0	1	111	33510	33620	2.30e-54	206
