locus_tag	ftype	length_bp	gene	EC_number	COG	product
NGCPGEKM_00001	CDS	177	rpsU		COG0828	Small ribosomal subunit protein bS21
NGCPGEKM_00002	CDS	489				hypothetical protein
NGCPGEKM_00003	CDS	651				hypothetical protein
NGCPGEKM_00004	CDS	996	floA			Flotillin-like protein FloA
NGCPGEKM_00005	CDS	615				hypothetical protein
NGCPGEKM_00006	CDS	945			COG1702	PhoH-like protein
NGCPGEKM_00007	CDS	462	ybeY	3.1.-.-		Endoribonuclease YbeY
NGCPGEKM_00008	CDS	348	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
NGCPGEKM_00009	CDS	408	cdd	3.5.4.5	COG0295	Cytidine deaminase
NGCPGEKM_00010	CDS	897	era			GTPase Era
NGCPGEKM_00011	CDS	771	recO		COG1381	DNA repair protein RecO
NGCPGEKM_00012	CDS	1395	glyQS	6.1.1.14		Glycine--tRNA ligase
NGCPGEKM_00013	CDS	420	ccpN		COG0517	Transcriptional repressor CcpN
NGCPGEKM_00014	CDS	828	yqfL_1	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
NGCPGEKM_00015	CDS	1788	dnaG	2.7.7.101		DNA primase
NGCPGEKM_00016	CDS	1110	sigA		COG0568	RNA polymerase sigma factor SigA
NGCPGEKM_00017	CDS	678	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
NGCPGEKM_00018	CDS	1104				GTP cyclohydrolase 1 type 2 
NGCPGEKM_00019	CDS	969	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
NGCPGEKM_00020	CDS	1335	cshB	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
NGCPGEKM_00021	CDS	894	nfo	3.1.21.2		putative endonuclease 4
NGCPGEKM_00022	CDS	771				hypothetical protein
NGCPGEKM_00023	CDS	888	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
NGCPGEKM_00024	CDS	408	zur		COG0735	Zinc-specific metallo-regulatory protein
NGCPGEKM_00025	CDS	1107	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
NGCPGEKM_00026	CDS	600	sodA	1.15.1.1		Superoxide dismutase [Mn/Fe]
NGCPGEKM_00027	CDS	2040	pbpA	3.4.16.4	COG0768	Penicillin-binding protein 2A
NGCPGEKM_00028	CDS	960	pstS			Phosphate-binding protein PstS
NGCPGEKM_00029	CDS	927				hypothetical protein
NGCPGEKM_00030	CDS	882	pstA		COG0581	Phosphate transport system permease protein PstA
NGCPGEKM_00031	CDS	843	pstB3	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
NGCPGEKM_00032	CDS	651	phoU			Phosphate-specific transport system accessory protein PhoU
NGCPGEKM_00033	CDS	150	rpmG2		COG0267	Large ribosomal subunit protein bL33B
NGCPGEKM_00034	CDS	540	yqgN		COG0212	putative protein YqgN
NGCPGEKM_00035	CDS	1440				hypothetical protein
NGCPGEKM_00036	CDS	204				hypothetical protein
NGCPGEKM_00037	CDS	987	glcK	2.7.1.2	COG1940	Glucokinase
NGCPGEKM_00038	CDS	312				hypothetical protein
NGCPGEKM_00039	CDS	630		3.-.-.-		putative metallo-hydrolase
NGCPGEKM_00040	CDS	975	comGA		COG2804	Competence protein ComGA
NGCPGEKM_00041	CDS	1068				hypothetical protein
NGCPGEKM_00042	CDS	324	comGC		COG4537	Competence protein ComGC
NGCPGEKM_00043	CDS	441				hypothetical protein
NGCPGEKM_00044	CDS	486				hypothetical protein
NGCPGEKM_00045	CDS	183				hypothetical protein
NGCPGEKM_00046	CDS	528	aroK	2.7.1.71	COG0703	Shikimate kinase
NGCPGEKM_00047	CDS	1092	gcvT	2.1.2.10		Aminomethyltransferase
NGCPGEKM_00048	CDS	1350	gcvPA	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
NGCPGEKM_00049	CDS	1473	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
NGCPGEKM_00050	CDS	387	yibN		COG0607	putative protein YibN
NGCPGEKM_00051	CDS	831	lipM	2.3.1.181	COG0095	Octanoyltransferase LipM
NGCPGEKM_00052	CDS	225				hypothetical protein
NGCPGEKM_00053	CDS	600				hypothetical protein
NGCPGEKM_00054	CDS	1071	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
NGCPGEKM_00055	CDS	558	efp		COG0231	Elongation factor P
NGCPGEKM_00056	CDS	462	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
NGCPGEKM_00057	CDS	1356	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
NGCPGEKM_00058	CDS	375				putative protein
NGCPGEKM_00059	CDS	393	nusB			Transcription antitermination protein NusB
NGCPGEKM_00060	CDS	1347	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
NGCPGEKM_00061	CDS	225				hypothetical protein
NGCPGEKM_00062	CDS	882		2.5.1.10		Farnesyl diphosphate synthase
NGCPGEKM_00063	CDS	1869	dxs	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
NGCPGEKM_00064	CDS	453	argR_1			Arginine repressor
NGCPGEKM_00065	CDS	1683	recN		COG0497	DNA repair protein RecN
NGCPGEKM_00066	CDS	894				hypothetical protein
NGCPGEKM_00067	CDS	1059	buk2	2.7.2.7	COG3426	Butyrate kinase 2
NGCPGEKM_00068	CDS	1419	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
NGCPGEKM_00069	CDS	999	bfmBAA	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
NGCPGEKM_00070	CDS	984	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
NGCPGEKM_00071	CDS	1275	pdhC_1	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
NGCPGEKM_00072	CDS	438				Bacilliredoxin
NGCPGEKM_00073	CDS	978				hypothetical protein
